;ANO;AREA_HA_Beach_and_Dune;AREA_HA_Citrus;AREA_HA_Coffe;AREA_HA_Forest_Formation;AREA_HA_Forest_Plantation;AREA_HA_Grassland_Pastizal_Formación_Herbácea;AREA_HA_Herbaceous_Sandbank_Vegetation;AREA_HA_Magrove;AREA_HA_Mining;AREA_HA_Mosaic_of_Agriculture_and_Pasture;AREA_HA_Mosaic_of_Crops;AREA_HA_Non_Observed;AREA_HA_Other_Non_Forest_Natural_Formation;AREA_HA_Other_Non_Vegetated_Area;AREA_HA_Other_Perennial_Crops;AREA_HA_Pasture;AREA_HA_River_Lake_and_Ocean;AREA_HA_Rocky_outcrop;AREA_HA_Salt_flat;AREA_HA_Savanna_Formation;AREA_HA_Soy_Beans;AREA_HA_Sugar_Cane;AREA_HA_Urban_Infrastructure;AREA_HA_Wetland;AREA_HA_Wooded_Sandbank_Vegetation;LAMINA_HIDRICA_HA
0;1985;30.737421918341298;0.0666101760864257;512.9491609248599;26581.360248406887;522.7142950128025;253.0597609203529;325.6421309979158;5.791998972228935;59.87558598834207;11542.04207758646;98.56136612622184;2.6452708995361327;13.68857172186274;254.0099351566268;1.0489593377685544;42893.98023074798;727.1255472697248;1388.6727084579425;0.5188352080688471;831.2097351812707;;0.0059124995727539;165.40851118273827;523.542416903301;81.02211616180406;726.9542829436182
1;1986;36.43455735870293;;595.3659097634217;25502.43102469249;595.0282748256055;235.0473189125988;292.21388423662705;5.727659502258241;64.84350791393936;12263.336132296923;54.91518063616935;2.681824071166992;10.34963062390134;134.1122503930222;1.1899393040771482;43429.18888862777;735.5504063842832;1374.6687611295752;0.5493033297729483;760.3159374030724;;0.0059124995727539;183.00869906439104;465.49911517934817;73.21528961059609;726.8367308441952
2;1987;38.76005292401098;;591.4694301394594;25391.554379097648;639.0834732988769;229.4736388907497;269.58816840142106;5.709878696838329;68.85028308630308;12153.97251506336;36.82724522241207;2.430101842895508;9.186005498229978;106.36861376163876;1.211022307617187;43658.02679281601;737.0784996607429;1389.3892140632302;0.5459177136840807;805.7300841331183;;;186.62831260320945;431.50414381000087;62.29163472845489;713.5044880652624
3;1988;38.18986478047549;;650.9932606464175;25340.816318670848;801.1323150991133;228.949670182132;257.21577667974043;5.589647371337868;72.19766163067517;11731.004599883558;31.29113553649896;1.4814903450927732;9.2054614975586;92.2660828462336;1.3820648805541995;43937.01347180137;712.4071602153554;1393.860215354733;0.6136370700683571;844.9078285164186;;;193.01152555676265;418.5428157121616;53.60740348181154;698.1573076955736
4;1989;31.20785907277522;;663.0318171877378;24874.430872675774;876.2971478085337;226.5877654865146;259.4417171150441;4.528105101257279;76.41993849847246;11805.7809378281;27.053016908202952;1.31136522052002;9.477153358093268;86.24306329084474;1.3920949261474609;44216.01291350089;713.3898293103551;1392.8256156165144;0.6779713087768534;893.5969613057343;;;201.61665878747587;404.34833249426833;50.00827095758067;704.0751618449416
5;1990;23.99263801680612;;654.1204620255093;24698.820454399774;898.9467956598612;225.8233577565321;264.351871754694;4.37910910101312;78.52802037530304;11684.315342610493;28.17474658215325;1.2128100425415038;9.327404872985843;86.71198665913097;1.4275613038940425;44528.22357705925;706.0484431953647;1396.0954566596668;0.6678188378295872;876.7001872882171;;;207.44390873229997;391.9340961449655;48.43335868060324;690.7911960681478
6;1991;21.84492972189052;;639.7924380228864;24435.53980902512;1061.5942756803577;230.9396152129526;265.5511583857363;5.315334317077619;79.6965442340073;11506.99298689562;31.434685535095475;1.5095561825561523;8.332989268127463;81.33295566732615;1.4107458270874025;44794.23169097836;730.7417660624088;1398.3514441284162;0.6238044298706037;867.8624064195036;;;215.93795485803196;388.74764689228334;47.89467001525928;713.4486308097365
7;1992;23.53177662309407;;641.7638120225803;24370.78734356053;1127.521962742121;233.326584070193;263.7069138028509;6.307452408630329;81.43793127941746;11506.189088945826;33.07114584155309;1.5197436417846684;6.831554803039529;71.650824645245;1.4151034681396493;44788.67621848087;749.4148840237971;1396.277483121212;0.5831719842529279;846.5289558811681;;;222.3145840235;392.7351153832443;50.08775700744656;719.6997006623309
8;1993;26.94066541893149;;645.4342564447583;24349.18086532441;1146.5306022555562;239.69152774377767;261.2446556387895;6.5741022338256805;83.83641133904901;11411.117146111048;36.03670438208061;1.8417514515380855;5.255133571166994;66.08706252195402;1.408406182556153;44888.95091450701;731.191862494441;1395.7408760647556;0.5704744241943347;827.8928160477363;;;237.5631991547868;400.7253262104685;51.86464823736583;728.289081939652
9;1994;33.897124003892515;;669.3865921375657;24313.78781000072;1221.4880969841392;247.48918601440667;257.96752625750287;6.826348961364827;85.79451765362455;11696.416299263015;36.82920297851575;1.701330003295899;3.467865652770981;58.79468353098722;1.4799756206665038;44493.39936000711;735.7870194844351;1401.3805061575872;0.5721618436279284;812.2951919328676;0.0253929330444335;;269.4781198338012;414.28539442476807;53.12970208026145;701.2147308859493
10;1995;39.65290642949596;;719.1822750986281;24174.346443472718;1235.9725993246557;247.302188643679;251.4634101763847;6.949078864746197;88.51873950311114;12162.484688998158;34.6941618735964;1.3717020681762695;2.471125650268556;53.04173584381098;1.5717164315185537;44131.82522485108;708.9873196780773;1402.2740855262382;0.5687737339477523;797.010538526439;0.005030135559082;;289.738845831362;414.330933132406;51.91588396551573;693.9274141962437
11;1996;42.02377282335591;;759.9184068176125;24133.447074209405;1246.7885240847806;247.78958972515963;247.2553109212584;6.978710782775959;91.63179902233604;12331.367549790715;32.43709518768327;1.3070669181518555;1.7551505612182623;53.82449418054201;1.6432364616088864;43985.09377652019;695.472734744178;1400.638454168209;0.5890893829956028;769.7183198070767;0.0862989087524413;;304.65095127509227;411.5265666292215;49.73543483477788;693.0844485501841
12;1999;29.165508302701923;;880.2155613790783;23560.67258993182;1253.5556725551844;252.52772190796108;257.65874596123547;6.58500480059821;106.19026600359813;12102.323531845528;33.78768846282987;2.356885651672364;1.73182542199707;52.49138541357421;1.8418840783081052;44590.63514351408;707.0994227851551;1404.9405481549045;0.7168919576416013;783.0369435526227;0.0377937266845703;0.1064394291381836;353.204782316718;391.2895175338863;43.50765307165555;713.3124052293248
13;2000;21.03837685427664;;986.6800651552564;23474.948344109365;1282.267424479137;261.2179592395027;265.50287707835935;6.954068021301355;108.2677535154996;11412.94321660324;41.14034833660919;1.6449639491577148;1.7231930441894527;52.572730645813;2.116529004089355;45234.8654016042;656.2671174865685;1404.6134744668543;0.6906521516113274;794.596599164687;0.1338262480468749;0.1030603612060547;363.9575765417551;398.6203795612325;42.81347013665785;610.6387184976992
14;2001;19.564566698390006;;1021.7226236736884;23390.338088443088;1295.103216269841;266.0987481711439;268.2564929377959;7.108974309936588;110.7714960177596;11444.399011875015;42.30762953845246;0.8011676181640626;1.949753792907716;54.20387635772994;2.138630912841797;45212.55649803031;647.8137164691102;1404.4009346921357;0.6288594598999017;811.0639277806523;0.2897177169189452;0.0219606322631835;373.6139911679718;398.1187325196038;42.40679267376729;583.2427009595648
15;2002;20.636440868022536;;1026.7915399279618;23368.69748450786;1316.702345995001;268.4017425925315;266.73773561369933;7.2723407022095135;113.19188406274463;11273.535805094009;42.45085605212438;2.0759141178588862;2.124658347351076;53.18138347130057;2.141228553894042;45335.14668071147;668.2204846075995;1403.651883038142;0.6077005853881831;818.757638009408;0.8311517848510749;;380.07970720752223;402.2194122090044;42.22338969958514;613.3120920305269
16;2003;24.081068940869656;;988.869628217088;23382.05833974217;1356.557175776678;266.0475446398326;263.20567322795665;7.297743258605983;117.14293291857436;11060.066420934576;40.46592120300309;2.8979457680664056;2.19818580749512;48.34547374256952;1.9684163688354477;45476.95496683521;692.6081925595064;1392.867558722529;0.5916132631835933;840.2968913978352;0.8521325395507818;;386.8630557034308;420.1515844536981;43.29094173846459;624.499754979317
17;2004;27.653812749323272;;1017.5694799152728;23329.80853037958;1442.0013707479188;266.21573148339985;266.7464169987102;7.436561079345701;119.46865019658816;11311.8980813714;36.28818328283703;2.2570508735961914;2.4211985431518563;51.7983533190645;1.986945365600585;45101.926720433854;683.687001692805;1393.642461898491;0.572141976745605;869.3492641661513;0.5058697622070311;0.0059142896728515;394.0004893780514;445.038697365202;43.40048049102838;632.5681515784703
18;2005;30.14911998845933;;1025.8899062496257;23297.11143682416;1491.9840574783962;261.99967108850257;265.96214718285273;7.627867279663096;122.00137905242308;12065.569872127253;38.96920903265379;3.135231264099119;2.6773226162719754;51.98744609457721;1.9701078070068356;44257.61618088912;700.5465883259859;1386.9602215419234;0.5628319739379876;909.5855518516322;0.1860552752685547;0.130925042602539;399.3240292551874;449.86299188753145;43.86925763116479;640.2701843474306
19;2006;30.07676782369314;;1060.0179588971464;23535.393555146675;1588.7123239573928;261.74862323065474;266.70818628325753;7.798015418701192;123.24359481707108;12380.31151661158;43.33124115130627;2.737852465637206;3.0198394703369167;54.79449860504651;1.9675871699829104;43503.78463936639;700.7781830273398;1381.9261970949049;0.5475950933227531;954.4137007720384;0.154502479736328;0.2652183930664061;408.8677026496568;461.0807091449191;43.99939869024679;648.1496660235052
20;2007;30.779509042082044;;1114.6392294106477;23902.4492487073;1694.735729049803;263.42680497986083;267.05442434319326;7.843724822814975;126.98545565618454;12512.786896018471;49.939735536987634;2.607507379882812;3.3791826759033183;55.56490468090821;2.0251254874267577;42750.67655346641;700.5651889847966;1384.035845742672;0.5425176049804675;1013.2569353067628;0.1619493968505859;0.4983515512084952;414.46421689935096;473.23399775204535;44.02637326397722;645.8705294591748
21;2008;33.70726642837366;0.0033737596435546;1150.8035595731878;24159.073556654483;1793.180238972461;267.48210938983306;266.944797970208;7.588941341308578;132.14788399023126;12821.25621648556;53.89463848907518;2.170180749267578;3.3939878243408232;55.423488295166;2.0413146961059567;41966.580456819305;697.7403650617018;1388.2349294881535;0.5450584645385727;1076.523888056635;0.2524277559204101;0.55241895361328;420.9543312014744;471.4516975242579;43.7322798150026;637.3922129361406
22;2009;39.66842830868385;0.001686880493164;1184.2739445421764;24485.69586949192;1965.202417921424;267.4916680518204;260.8671382606135;7.418802885864244;135.22810563030504;12922.262308557363;55.77761750134329;2.236883123474119;3.668895246765148;55.51305875537111;2.022662263549805;41322.639918549714;706.2531438671832;1392.4604387505449;0.5586011522216786;1068.8478163699906;0.2348089134521483;0.5693391370849603;428.1450298921485;464.6073761142134;44.03344759173609;653.8997443659574
23;2010;40.75355575570536;;1202.2741561117602;24864.543576122494;2057.3663230351217;268.58274190808294;252.16790284600376;7.307082014038093;138.38798985247212;12748.113788400806;60.95226926934873;2.5258958707275383;3.786691940002454;53.65454196368412;2.015658833190918;40999.17544173756;701.8185807149005;1394.8773999743023;0.5755285158691401;1098.1272021580105;0.1549792509765624;0.4806836486816412;439.0256496699183;435.7716118090452;43.24015635668969;629.4591548772763
24;2011;37.599632652067534;;1251.4967490249671;25041.51057602671;2162.776499397854;277.77048973980726;248.8635716433053;7.356174805969235;143.0492347590891;12752.441887697973;72.8872730434573;3.616836796691896;3.7716096657104576;52.97477025482178;2.014573719238281;40698.14483510303;711.3246879636187;1392.4199447380342;0.6161539385986322;1043.3025510029856;0.2446700558471678;0.4992813453369147;451.8532067216761;416.20019769855816;42.94399996350111;629.652387165929
25;2012;33.55339800515497;;1352.1076382551198;25044.318554803263;2213.2530883451263;284.6747321495976;245.8018445451613;7.440810546264629;147.17507740648813;12948.404031033078;102.03560728570592;3.077317411926269;3.613558817443856;53.51842554242017;2.0179372006835936;40339.41530703128;703.9499375043896;1389.807060336606;0.6051586500244137;1034.9045187575628;0.2332611534423827;0.2788083397827146;463.56274969134085;400.42496800244703;41.50561694476319;627.4028223751395
26;2013;32.3910740837684;;1496.7045315181683;25011.7923920416;2264.39620499538;291.1572393779292;247.08176738512773;7.332471400939939;151.20695482872998;12981.714620374596;121.00354199646031;3.344918050964353;4.021042546447767;55.97794715844798;2.006147713500977;40107.22963131429;683.1818123742624;1388.1683386726663;0.5763878361206047;1054.011147772271;0.0992792556152344;0.2154412213745116;477.8048908019366;392.82260127246593;41.43902376678453;593.0102193401535
27;2014;30.299596120817395;;1681.5205468114175;24936.34441191555;2303.6901999736447;295.9603177337627;250.03704998107392;6.990501804870659;156.3587029011805;12920.06562185772;138.12112488354492;4.0683065740966775;4.633605466613774;60.106541360168514;1.99694094317627;39931.19799063505;683.9404997137383;1389.8189117800853;0.5967075792236316;1098.017099016035;0.1708142713623047;0.1892528654174805;490.3124271378134;390.05338673645366;41.18884969696025;597.6717334400599
28;2015;29.97126601577596;;1792.8894667908082;24891.821346152057;2323.815185631173;298.8266525925878;251.051303083979;5.796150840698196;161.99931080999448;13112.691086683966;143.00117948156688;4.836826812133782;5.31116326129153;65.19873875109862;1.9057750783691407;39599.447247931246;669.0248478925121;1389.9674373940372;0.6237922921142576;1143.6101117649396;0.73825732019043;0.1613755635375977;500.9650668365461;380.9502150842932;41.07560369451885;573.6714807694065
29;2016;28.723596256132225;;1781.460564718333;24961.04229502857;2395.1104240288246;303.0903920189797;256.03300864733154;4.795564214538538;168.65062728741154;13936.65006623692;147.5285359881593;10.239607505676256;5.8604885819091965;67.26238893676761;6.788557190551763;38588.52837463001;655.2992831840157;1385.4868147814889;0.7465317298583986;1184.5644170487556;2.1180508350219727;0.2467186836547852;507.6720998226312;377.72035527038776;40.06064513366694;557.0784846517282
