system:index,area,band,class,class_name,.geo
0_0_0,726.9542829436184,water_coverage_1985,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,726.8367308441955,water_coverage_1986,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,713.5044880652628,water_coverage_1987,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,698.1573076955735,water_coverage_1988,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,704.075161844942,water_coverage_1989,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,690.791196068148,water_coverage_1990,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,713.4486308097368,water_coverage_1991,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_0,719.6997006623307,water_coverage_1992,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_0,728.2890819396521,water_coverage_1993,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_0,701.214730885949,water_coverage_1994,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_0,693.9274141962434,water_coverage_1995,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_0,693.0844485501841,water_coverage_1996,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_0,699.6477989682786,water_coverage_1997,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,683.3059154701464,water_coverage_1998,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_0,713.3124052293244,water_coverage_1999,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_0,610.6387184976993,water_coverage_2000,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,583.2427009595643,water_coverage_2001,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_0,613.3120920305265,water_coverage_2002,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_0,624.4997549793176,water_coverage_2003,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_0,632.5681515784705,water_coverage_2004,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_0,640.2701843474307,water_coverage_2005,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_0,648.1496660235055,water_coverage_2006,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_0,645.8705294591748,water_coverage_2007,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_0,637.3922129361408,water_coverage_2008,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_0,653.8997443659575,water_coverage_2009,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_0,629.4591548772764,water_coverage_2010,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_0,629.6523871659291,water_coverage_2011,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0_0,627.4028223751395,water_coverage_2012,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0_0,593.0102193401538,water_coverage_2013,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0_0,597.6717334400598,water_coverage_2014,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0_0,573.6714807694067,water_coverage_2015,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0_0,557.0784846517284,water_coverage_2016,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0_0,552.5321313263945,water_coverage_2017,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0_0,571.4757192074372,water_coverage_2018,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0_0,564.2310119940762,water_coverage_2019,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0_0,588.6381686119344,water_coverage_2020,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
