system:index,area,band,class,class_name,.geo
10_0_13,1006.7168813634652,classification_1995,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_14,88.41429323473953,classification_1995,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_15,0.5704662320556625,classification_1995,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_16,696.6775007501569,classification_1995,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_17,26.407316044555913,classification_1995,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_18,718.7470534642903,classification_1995,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_19,1.5532383071289058,classification_1995,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_20,62.25843009094246,classification_1995,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_21,161.42016219219678,classification_1995,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_0,0.11150247601318361,classification_1996,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_1,24735.980688599106,classification_1996,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_2,408.0200017443934,classification_1996,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_3,6.976176586975174,classification_1996,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_4,1218.6499368880036,classification_1996,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_5,243.43807575391122,classification_1996,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_6,221.3950259408,classification_1996,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_7,0.6372961860351566,classification_1996,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_8,44154.73278984615,classification_1996,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_9,12618.545982751459,classification_1996,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_10,42.181813376517624,classification_1996,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_11,304.80845963086637,classification_1996,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_12,57.79328990539553,classification_1996,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_13,1019.0553395576167,classification_1996,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_14,91.5298754613619,classification_1996,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_15,0.5941675897827124,classification_1996,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_16,683.9677636952866,classification_1996,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_17,26.114198489868393,classification_1996,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_18,759.3845522179406,classification_1996,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_19,1.625643414550781,classification_1996,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_20,59.77411725445569,classification_1996,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_21,160.36271039117315,classification_1996,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_0,0.10981462103271486,classification_1997,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_1,24658.7915355334,classification_1997,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_2,398.23631384559457,classification_1997,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_3,6.902527515503012,classification_1997,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_4,1217.518374913159,classification_1997,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_5,235.29131102240467,classification_1997,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_6,216.8935804597813,classification_1997,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_7,0.6865069507446294,classification_1997,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_8,44041.48720019945,classification_1997,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_9,0.03463576623535154,classification_1997,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_10,12757.685583332997,classification_1997,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_11,38.06891763009495,classification_1997,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_12,322.39280674628225,classification_1997,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_13,56.699665689025885,classification_1997,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_14,1025.48478169171,classification_1997,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_15,97.0782220668915,classification_1997,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_16,0.6254810343627917,classification_1997,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_17,693.0451351226192,classification_1997,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_18,23.627964382568635,classification_1997,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_19,802.9039495091457,classification_1997,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_20,1.6575259991455076,classification_1997,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_21,57.232698082763875,classification_1997,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_22,163.22487564202694,classification_1997,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,0.10218945953369138,classification_1998,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_1,24589.650784491118,classification_1998,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_2,393.53375283045364,classification_1998,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_3,6.4250710058593326,classification_1998,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_4,1224.7802789383686,classification_1998,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_5,217.12742815020312,classification_1998,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_6,218.78196470990508,classification_1998,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_7,0.7559388190307619,classification_1998,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_8,44175.62040728861,classification_1998,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_9,0.08447879687499998,classification_1998,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_10,12663.88773141661,classification_1998,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_11,33.45891851351748,classification_1998,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_12,335.1999898892867,classification_1998,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_13,55.475165359741254,classification_1998,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_14,1031.2545937852155,classification_1998,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_15,101.27895905291454,classification_1998,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_16,0.6559482987670885,classification_1998,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_17,692.4588797239351,classification_1998,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_18,22.38517033331326,classification_1998,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_19,828.8034498272584,classification_1998,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_20,1.6919853904418944,classification_1998,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_21,54.89993151873844,classification_1998,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_22,167.3663901582618,classification_1998,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_0,0.10300856018066408,classification_1999,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_1,24139.745572539767,classification_1999,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_2,409.58542332856325,classification_1999,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_3,6.586704808410706,classification_1999,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_4,1215.3949400255206,classification_1999,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_5,198.35283132048474,classification_1999,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_6,223.84123188733287,classification_1999,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_7,0.873377740600586,classification_1999,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_8,44749.861191571865,classification_1999,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_9,0.10643942913818362,classification_1999,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_10,12436.582540284795,classification_1999,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_11,29.217085895536414,classification_1999,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_12,353.3405280030585,classification_1999,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_13,56.390782840759286,classification_1999,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_14,1055.9419313052945,classification_1999,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_15,106.03197136132493,classification_1999,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_16,0.7168918966674801,classification_1999,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_17,698.7007641577135,classification_1999,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_18,22.383300860046706,classification_1999,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_19,879.4868431800419,classification_1999,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_20,1.8125237380981445,classification_1999,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_21,52.64753123840373,classification_1999,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_22,177.97599178478583,classification_1999,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_0,0.08527548681640625,classification_2000,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_1,24036.435659801286,classification_2000,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_2,425.84026438557146,classification_2000,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_3,6.977774601989829,classification_2000,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_4,1244.1727314667435,classification_2000,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_5,193.3033776891396,classification_2000,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_6,228.77466972925066,classification_2000,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_7,0.7353577463989259,classification_2000,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_8,45405.40204138184,classification_2000,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_9,0.10306036120605472,classification_2000,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_10,11767.319320508974,classification_2000,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_11,21.066273353666297,classification_2000,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_12,364.06224148456494,classification_2000,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_13,54.2493302333374,classification_2000,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_14,1061.9998256649778,classification_2000,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_15,108.10024488000153,classification_2000,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_16,0.6965777689208977,classification_2000,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_17,647.2218697731878,classification_2000,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_18,23.235536698974823,classification_2000,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_19,985.8692201508032,classification_2000,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_20,2.0964422180786126,classification_2000,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_21,51.81049615033017,classification_2000,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_22,186.1218162226496,classification_2000,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,0.09878771203613282,classification_2001,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_1,23942.68567806491,classification_2001,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_2,443.05467422175485,classification_2001,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_3,7.129293970031793,classification_2001,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_4,1259.2718764305448,classification_2001,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_5,185.40393094207207,classification_2001,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_6,232.94947882476845,classification_2001,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_7,0.7159555654296879,classification_2001,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_8,45385.46720815651,classification_2001,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_9,0.021960632263183597,classification_2001,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_10,11812.535505574995,classification_2001,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_11,19.510523060023292,classification_2001,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_12,373.6638298104278,classification_2001,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_13,57.37960667267133,classification_2001,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_14,1065.136882981199,classification_2001,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_15,110.63086637487598,classification_2001,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_16,0.6322452969360344,classification_2001,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_17,633.2132426166328,classification_2001,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_18,0.05597400543212891,classification_2001,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_19,22.9810518188478,classification_2001,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_20,1020.9174524000676,classification_2001,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_21,2.115186084228516,classification_2001,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_22,51.0468565430913,classification_2001,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_23,189.0613399995048,classification_2001,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_0,0.10470264196777343,classification_2002,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_1,23899.88760240525,classification_2002,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_2,449.72786128016145,classification_2002,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_3,7.274885940979043,classification_2002,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_4,1287.1441757900454,classification_2002,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_5,186.61811552886266,classification_2002,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_6,234.00524412518297,classification_2002,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_7,0.765910651000977,classification_2002,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_8,45510.142716659386,classification_2002,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_9,11659.022918677227,classification_2002,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_10,20.547751223613307,classification_2002,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_11,380.18354223529315,classification_2002,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_12,57.17952799736259,classification_2002,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_13,1063.7429017048312,classification_2002,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_14,113.03196956024217,classification_2002,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_15,0.6093937514648431,classification_2002,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_16,660.970728659663,classification_2002,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_17,0.1253339888305664,classification_2002,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_18,23.795714642944407,classification_2002,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_19,1025.9795545995926,classification_2002,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_20,2.1110215186767585,classification_2002,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_21,51.05317779492234,classification_2002,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_22,181.65465638225714,classification_2002,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_0,0.09967707855224611,classification_2003,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_1,23890.63930634881,classification_2003,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_2,456.48694106391747,classification_2003,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_3,7.318905295105006,classification_2003,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_4,1322.983332755677,classification_2003,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_5,208.34743950286955,classification_2003,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_6,231.17015688629218,classification_2003,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_7,0.7634102090454106,classification_2003,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_8,45663.082793286034,classification_2003,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_9,11491.889283088643,classification_2003,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_10,24.034625718640676,classification_2003,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_11,387.02673408642596,classification_2003,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_12,52.11504559938103,classification_2003,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_13,1042.2658328071907,classification_2003,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_14,116.97966581786648,classification_2003,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_15,0.5882274624023432,classification_2003,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_16,678.4294291661331,classification_2003,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_17,0.08718795379638672,classification_2003,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_18,23.970604151123126,classification_2003,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_19,987.9264838088836,classification_2003,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_20,1.9525045390014641,classification_2003,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_21,52.78605282165586,classification_2003,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_22,174.73576831194563,classification_2003,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_0,0.1174195593261719,classification_2004,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_1,23843.67723730619,classification_2004,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_2,464.1757110440231,classification_2004,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_3,7.458569046264644,classification_2004,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_4,1402.9382927479749,classification_2004,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_5,242.12524636853962,classification_2004,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_6,232.16825067004586,classification_2004,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_7,0.8682187101440435,classification_2004,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_8,45284.19371857014,classification_2004,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_9,0.005914289672851562,classification_2004,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_10,11756.998815727215,classification_2004,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_11,27.70200669072952,classification_2004,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_12,394.05359322772176,classification_2004,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_13,53.00163894241658,classification_2004,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_14,1053.4313750875854,classification_2004,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_15,119.31223185076288,classification_2004,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_16,0.5746809227294917,classification_2004,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_17,668.376161373956,classification_2004,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_18,0.022928051513671877,classification_2004,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_19,22.188017435546882,classification_2004,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_20,1016.2948469730742,classification_2004,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_21,1.992146538513183,classification_2004,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_22,53.37316859259073,classification_2004,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_23,170.62921803332168,classification_2004,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_0,0.11318834118652345,classification_2005,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_1,23804.14276009466,classification_2005,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_2,478.95282178333423,classification_2005,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_3,7.6473354754028415,classification_2005,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_4,1457.2595821336597,classification_2005,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_5,250.54773286348208,classification_2005,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_6,229.6846535306432,classification_2005,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_7,0.8614856358032228,classification_2005,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_8,44428.23644212494,classification_2005,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_9,0.130925042602539,classification_2005,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_10,12539.895530848533,classification_2005,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_11,30.263205202570653,classification_2005,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_12,399.44375848944026,classification_2005,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_13,53.46565047586383,classification_2005,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_14,1052.6399515548128,classification_2005,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_15,121.87271695470571,classification_2005,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_16,0.5645245682983392,classification_2005,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_17,690.935958133787,classification_2005,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_18,0.016984922668457032,classification_2005,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_19,20.440210400207388,classification_2005,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
